Type,Name,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty,Population,Area
City,Milford,67.97%,23.26%,0.34%,1.04%,0.16%,4.25%,2.97%,8.82%,$32525.00,$40333.00,$29271.00,$23164.00,$16181.00,10.40%,14.40%,21.10%,12.60%,,
City,Millsboro,73.64%,19.41%,0.76%,3.31%,,1.61%,1.27%,3.09%,$27379.00,$32708.00,$30700.00,$22100.00,$15157.00,14.70%,18.20%,23.20%,18.20%,,
City,Milton,67.11%,24.32%,0.24%,0.48%,0.12%,6.04%,1.69%,8.93%,$32368.00,$40313.00,$26065.00,$23269.00,$17016.00,12.80%,18.00%,28.60%,14.00%,,
City,New Castle,77.48%,20.20%,0.25%,0.39%,,0.84%,0.84%,2.41%,$52449.00,$56368.00,$40153.00,$31571.00,$24052.00,3.90%,5.30%,5.80%,7.50%,,
City,Newark,87.29%,6.00%,0.16%,4.07%,0.05%,0.86%,1.57%,2.53%,,,,,,,,,,,
City,Newport,75.76%,10.61%,0.80%,1.69%,,5.08%,6.06%,13.55%,$38864.00,$41771.00,$32917.00,$26420.00,$19590.00,9.90%,11.80%,17.30%,8.90%,,
City,North Star,89.60%,2.50%,0.07%,6.68%,0.02%,0.30%,0.82%,1.17%,$110616.00,$113621.00,$81175.00,$46603.00,$39677.00,2.20%,2.40%,3.30%,0.00%,,
City,Ocean View,97.42%,1.09%,0.20%,0.50%,,,0.80%,1.19%,$47500.00,$52125.00,$37614.00,$31333.00,$27188.00,1.50%,2.80%,0.00%,5.40%,,
City,Odessa,94.06%,5.24%,,,0.35%,,0.35%,1.05%,$53269.00,$55938.00,$31875.00,$33750.00,$27662.00,0.00%,3.20%,,,,
City,Pike Creek,88.30%,4.09%,0.17%,5.58%,0.10%,0.63%,1.14%,2.59%,,,,,,,,,,,
City,Rehoboth Beach,98.13%,0.27%,0.13%,0.67%,,0.54%,0.27%,0.94%,$51429.00,$66844.00,$56250.00,$28295.00,$67715.00,3.10%,5.30%,5.90%,4.50%,,
City,Rising Sun-Lebanon,75.71%,15.58%,0.49%,2.36%,,2.56%,3.30%,5.94%,$37315.00,$40658.00,$27031.00,$21302.00,$13868.00,4.10%,6.60%,7.40%,2.90%,,
City,Riverview,88.44%,7.26%,0.25%,1.52%,0.06%,1.07%,1.39%,2.27%,$64219.00,$66250.00,$39458.00,$24605.00,$22766.00,1.90%,0.90%,2.40%,0.00%,,
City,Rodney Village,49.13%,38.83%,0.75%,4.00%,,1.62%,5.68%,6.24%,$40875.00,$41767.00,$28676.00,$23750.00,$15946.00,5.10%,8.10%,11.30%,7.80%,,
City,Seaford,64.04%,30.02%,0.37%,1.49%,0.19%,1.72%,2.16%,4.25%,$28402.00,$39688.00,$30467.00,$23490.00,$15022.00,22.00%,27.60%,43.40%,13.20%,,
City,Selbyville,72.89%,15.38%,,0.73%,0.55%,9.48%,0.97%,21.09%,$36250.00,$41522.00,$25368.00,$20660.00,$16965.00,10.60%,11.70%,13.40%,12.40%,,
City,Slaughter Beach,99.49%,,,,,,0.51%,,$41250.00,$50625.00,$30417.00,$37188.00,$27290.00,10.90%,13.60%,0.00%,0.00%,,
City,Smyrna,72.88%,22.42%,0.51%,0.56%,0.07%,1.44%,2.11%,3.42%,$36212.00,$42355.00,$32500.00,$22135.00,$17443.00,7.90%,10.50%,14.00%,6.20%,,
City,South Bethany,99.19%,,,0.20%,,,0.61%,,$67125.00,$89666.00,$61250.00,$37500.00,$53624.00,0.00%,1.60%,0.00%,3.10%,,
City,Townsend,84.10%,11.56%,0.87%,0.87%,,2.60%,,2.60%,$47500.00,$48875.00,$27250.00,$28409.00,$17671.00,2.10%,1.70%,0.00%,8.70%,,
City,Viola,93.59%,4.49%,,1.92%,,,,1.92%,$47813.00,$49531.00,$39250.00,$24250.00,$21687.00,3.40%,,,16.70%,,
City,Wilmington Manor,79.33%,10.95%,0.19%,0.85%,0.06%,6.69%,1.92%,12.96%,$43434.00,$48920.00,$36111.00,$27743.00,$18934.00,5.50%,9.40%,10.50%,6.60%,,
City,Wilmington,32.60%,58.00%,0.40%,1.00%,0.10%,5.40%,2.60%,12.40%,,,,,,,,,,,
City,Woodside East,66.33%,28.24%,0.55%,0.78%,0.05%,0.87%,3.17%,2.39%,$32431.00,$32344.00,$29750.00,$19865.00,$13542.00,15.00%,16.10%,19.10%,6.80%,,
City,Woodside,96.20%,0.54%,,1.09%,,0.54%,1.63%,1.09%,$54250.00,$53750.00,$35417.00,$21875.00,$23399.00,3.90%,7.90%,0.00%,15.00%,,
City,Wyoming,79.49%,13.32%,0.09%,3.86%,,0.53%,2.72%,2.54%,$48452.00,$54265.00,$35625.00,$25741.00,$21254.00,1.80%,3.60%,3.60%,3.40%,,
